year,river,run,lat,long,z_score_lat,day_of_yr
2010,George River,even,61.92531111,157.7014667,1.705080356,202.2426298
2010,Kanektok River,even,59.7702,161.0668333,0.746898801,230.2627284
2010,Auke Creek,even,58.38052222,134.6422139,0.12903571,234.0594138
2010,Chignik River,even,56.25600556,158.7328278,-0.815543283,224.7128781
2010,Olga Creek Upper Station,even,57.05531944,154.3618972,-0.460161223,229.160441
2010,Dog Salmon River,even,57.12766667,154.0369861,-0.427995005,219.5434131
2010,Ayakulik,even,57.19558333,154.5353167,-0.397798652,217.0870163
2010,North River,even,63.53168,160.3948398,2.419286241,195.9989314
2010,Yukon River Pilot Station,even,61.94334722,162.8684389,1.713099371,196.4783168
2010,Kwethluk River,even,60.50156389,161.1190611,1.072069687,204
2010,Litnik,even,58.08005,152.8184972,-0.004556911,234.70728
2010,Situk Lower,even,59.44026667,139.5619222,0.600207509,213.0191151
2010,Babine,even,55.32963611,126.6314611,-1.227415371,239.3598706
2010,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,241.871769
2010,Kogrukluk River,even,60.85080583,157.849982,1.227345759,211.1438973
